yuv420p,3,12,0,yuv420p,2
yuyv422,3,16,0,yuyv422,2
rgb24,3,24,0,rgb24,1
bgr24,3,24,0,bgr24,1
yuv422p,3,16,0,yuv422p,2
yuv444p,3,24,0,yuv444p,2
yuv410p,3,9,0,yuv410p,2
yuv411p,3,12,0,yuv411p,2
gray,1,8,139,yuv444p,2
monow,1,1,1,yuv444p,2
monob,1,1,1,yuv444p,2
yuvj420p,3,12,0,yuvj420p,2
yuvj422p,3,16,0,yuvj422p,2
yuvj444p,3,24,0,yuvj444p,2
uyvy422,3,16,0,uyvy422,2
bgr8,3,8,1,rgb24,1
bgr4_byte,3,4,1,rgb24,1
rgb8,3,8,1,rgb24,1
rgb4_byte,3,4,1,rgb24,1
nv12,3,12,0,nv12,2
nv21,3,12,0,nv21,2
argb,4,32,1,rgb24,1
rgba,4,32,1,rgb24,1
abgr,4,32,1,rgb24,1
bgra,4,32,1,rgb24,1
gray16be,1,16,1,yuv444p12le,2
gray16le,1,16,1,yuv444p12le,2
yuv440p,3,16,0,yuv440p,2
yuvj440p,3,16,0,yuvj440p,2
yuva420p,4,20,0,yuva420p,2
rgb48be,3,48,1,gbrp12le,1
rgb48le,3,48,1,gbrp12le,1
rgb565be,3,16,1,rgb24,1
rgb565le,3,16,1,rgb24,1
rgb555be,3,15,1,rgb24,1
rgb555le,3,15,1,rgb24,1
bgr565be,3,16,1,rgb24,1
bgr565le,3,16,1,rgb24,1
bgr555be,3,15,1,rgb24,1
bgr555le,3,15,1,rgb24,1
yuv420p16le,3,24,1,yuv420p12le,2
yuv420p16be,3,24,1,yuv420p12le,2
yuv422p16le,3,32,1,yuv422p12le,2
yuv422p16be,3,32,1,yuv422p12le,2
yuv444p16le,3,48,1,yuv444p12le,2
yuv444p16be,3,48,1,yuv444p12le,2
rgb444le,3,12,1,rgb24,1
rgb444be,3,12,1,rgb24,1
bgr444le,3,12,1,rgb24,1
bgr444be,3,12,1,rgb24,1
ya8,2,16,1,yuv444p,2
bgr48be,3,48,1,gbrp12le,1
bgr48le,3,48,1,gbrp12le,1
yuv420p9be,3,13,1,yuv420p9le,2
yuv420p9le,3,13,0,yuv420p9le,2
yuv420p10be,3,15,1,yuv420p10le,2
yuv420p10le,3,15,0,yuv420p10le,2
yuv422p10be,3,20,1,yuv422p10le,2
yuv422p10le,3,20,0,yuv422p10le,2
yuv444p9be,3,27,1,yuv444p9le,2
yuv444p9le,3,27,0,yuv444p9le,2
yuv444p10be,3,30,1,yuv444p10le,2
yuv444p10le,3,30,0,yuv444p10le,2
yuv422p9be,3,18,1,yuv422p9le,2
yuv422p9le,3,18,0,yuv422p9le,2
gbrp,3,24,0,gbrp,1
gbrp9be,3,27,1,gbrp9le,1
gbrp9le,3,27,0,gbrp9le,1
gbrp10be,3,30,1,gbrp10le,1
gbrp10le,3,30,0,gbrp10le,1
gbrp16be,3,48,1,gbrp12le,1
gbrp16le,3,48,1,gbrp12le,1
yuva422p,4,24,0,yuva422p,2
yuva444p,4,32,0,yuva444p,2
yuva420p9be,4,22,1,yuva420p9le,2
yuva420p9le,4,22,0,yuva420p9le,2
yuva422p9be,4,27,1,yuva422p9le,2
yuva422p9le,4,27,0,yuva422p9le,2
yuva444p9be,4,36,1,yuva444p9le,2
yuva444p9le,4,36,0,yuva444p9le,2
yuva420p10be,4,25,1,yuva420p10le,2
yuva420p10le,4,25,0,yuva420p10le,2
yuva422p10be,4,30,1,yuva422p10le,2
yuva422p10le,4,30,0,yuva422p10le,2
yuva444p10be,4,40,1,yuva444p10le,2
yuva444p10le,4,40,0,yuva444p10le,2
yuva420p16be,4,40,1,yuva420p10le,2
yuva420p16le,4,40,1,yuva420p10le,2
yuva422p16be,4,48,1,yuva422p10le,2
yuva422p16le,4,48,1,yuva422p10le,2
yuva444p16be,4,64,1,yuva444p10le,2
yuva444p16le,4,64,1,yuva444p10le,2
xyz12le,3,36,1,gbrp12le,1
xyz12be,3,36,1,gbrp12le,1
rgba64be,4,64,1,gbrp12le,1
rgba64le,4,64,1,gbrp12le,1
bgra64be,4,64,1,gbrp12le,1
bgra64le,4,64,1,gbrp12le,1
yvyu422,3,16,0,yvyu422,2
ya16be,2,32,1,yuv444p12le,2
ya16le,2,32,1,yuv444p12le,2
gbrap,4,32,0,gbrap,1
gbrap16be,4,64,1,gbrp12le,1
gbrap16le,4,64,1,gbrp12le,1
0rgb,3,24,0,0rgb,1
rgb0,3,24,0,rgb0,1
0bgr,3,24,0,0bgr,1
bgr0,3,24,0,bgr0,1
yuv420p12be,3,18,1,yuv420p12le,2
yuv420p12le,3,18,0,yuv420p12le,2
yuv420p14be,3,21,1,yuv420p12le,2
yuv420p14le,3,21,1,yuv420p12le,2
yuv422p12be,3,24,1,yuv422p12le,2
yuv422p12le,3,24,0,yuv422p12le,2
yuv422p14be,3,28,1,yuv422p12le,2
yuv422p14le,3,28,1,yuv422p12le,2
yuv444p12be,3,36,1,yuv444p12le,2
yuv444p12le,3,36,0,yuv444p12le,2
yuv444p14be,3,42,1,yuv444p12le,2
yuv444p14le,3,42,1,yuv444p12le,2
gbrp12be,3,36,1,gbrp12le,1
gbrp12le,3,36,0,gbrp12le,1
gbrp14be,3,42,1,gbrp12le,1
gbrp14le,3,42,1,gbrp12le,1
yuvj411p,3,12,0,yuvj411p,2
yuv440p10le,3,20,1,yuv444p10le,2
yuv440p10be,3,20,1,yuv444p10le,2
yuv440p12le,3,24,0,yuv440p12le,2
yuv440p12be,3,24,1,yuv440p12le,2
ayuv64le,4,64,1,yuv440p12le,2
